"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 3","1 wk ahead","Bin","percent","4.6","4.7",0.0021
"HHS Region 3","1 wk ahead","Bin","percent","4.7","4.8",0.0016
"HHS Region 3","1 wk ahead","Bin","percent","4.8","4.9",0.001
"HHS Region 3","1 wk ahead","Bin","percent","4.9","5.0",9e-04
"HHS Region 3","1 wk ahead","Bin","percent","5.0","5.1",7e-04
"HHS Region 3","1 wk ahead","Bin","percent","5.1","5.2",4e-04
"HHS Region 3","1 wk ahead","Bin","percent","5.2","5.3",3e-04
"HHS Region 3","1 wk ahead","Bin","percent","5.3","5.4",1e-04
"HHS Region 3","1 wk ahead","Bin","percent","5.4","5.5",4e-04
"HHS Region 3","1 wk ahead","Bin","percent","5.5","5.6",4e-04
"HHS Region 3","1 wk ahead","Bin","percent","5.6","5.7",3e-04
"HHS Region 3","1 wk ahead","Bin","percent","5.7","5.8",3e-04
"HHS Region 3","1 wk ahead","Bin","percent","5.8","5.9",1e-04
"HHS Region 3","1 wk ahead","Bin","percent","5.9","6.0",2e-04
"HHS Region 3","1 wk ahead","Bin","percent","6.0","6.1",1e-04
"HHS Region 3","1 wk ahead","Bin","percent","6.1","6.2",1e-04
"HHS Region 3","1 wk ahead","Bin","percent","6.2","6.3",1e-04
"HHS Region 3","1 wk ahead","Bin","percent","6.3","6.4",2e-04
"HHS Region 3","1 wk ahead","Bin","percent","6.4","6.5",2e-04
"HHS Region 3","1 wk ahead","Bin","percent","6.5","6.6",0
"HHS Region 3","1 wk ahead","Bin","percent","6.6","6.7",0
"HHS Region 3","1 wk ahead","Bin","percent","6.7","6.8",0
"HHS Region 3","1 wk ahead","Bin","percent","6.8","6.9",0
"HHS Region 3","1 wk ahead","Bin","percent","6.9","7.0",2e-04
"HHS Region 3","1 wk ahead","Bin","percent","7.0","7.1",0
"HHS Region 3","1 wk ahead","Bin","percent","7.1","7.2",0
"HHS Region 3","1 wk ahead","Bin","percent","7.2","7.3",0
"HHS Region 3","1 wk ahead","Bin","percent","7.3","7.4",0
"HHS Region 3","1 wk ahead","Bin","percent","7.4","7.5",0
"HHS Region 3","1 wk ahead","Bin","percent","7.5","7.6",0
"HHS Region 3","1 wk ahead","Bin","percent","7.6","7.7",0
"HHS Region 3","1 wk ahead","Bin","percent","7.7","7.8",0
"HHS Region 3","1 wk ahead","Bin","percent","7.8","7.9",1e-04
"HHS Region 3","1 wk ahead","Bin","percent","7.9","8.0",0
"HHS Region 3","1 wk ahead","Bin","percent","8.0","8.1",0
"HHS Region 3","1 wk ahead","Bin","percent","8.1","8.2",0
"HHS Region 3","1 wk ahead","Bin","percent","8.2","8.3",0
"HHS Region 3","1 wk ahead","Bin","percent","8.3","8.4",0
"HHS Region 3","1 wk ahead","Bin","percent","8.4","8.5",1e-04
"HHS Region 3","1 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 3","1 wk ahead","Bin","percent","8.6","8.7",1e-04
"HHS Region 3","1 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 3","1 wk ahead","Bin","percent","8.8","8.9",1e-04
"HHS Region 3","1 wk ahead","Bin","percent","8.9","9.0",0
"HHS Region 3","1 wk ahead","Bin","percent","9.0","9.1",1e-04
"HHS Region 3","1 wk ahead","Bin","percent","9.1","9.2",0
"HHS Region 3","1 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 3","1 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 3","1 wk ahead","Bin","percent","9.4","9.5",1e-04
"HHS Region 3","1 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 3","1 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 3","1 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 3","1 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 3","1 wk ahead","Bin","percent","9.9","10.0",0
"HHS Region 3","1 wk ahead","Bin","percent","10.0","10.1",0
"HHS Region 3","1 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 3","1 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 3","1 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 3","1 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 3","1 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 3","1 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 3","1 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 3","1 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 3","1 wk ahead","Bin","percent","10.9","11.0",0
"HHS Region 3","1 wk ahead","Bin","percent","11.0","11.1",0
"HHS Region 3","1 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 3","1 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 3","1 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 3","1 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 3","1 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 3","1 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 3","1 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 3","1 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 3","1 wk ahead","Bin","percent","11.9","12.0",0
"HHS Region 3","1 wk ahead","Bin","percent","12.0","12.1",0
"HHS Region 3","1 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 3","1 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 3","1 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 3","1 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 3","1 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 3","1 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 3","1 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 3","1 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 3","1 wk ahead","Bin","percent","12.9","13.0",0
"HHS Region 3","1 wk ahead","Bin","percent","13.0","100.0",0
"HHS Region 3","2 wk ahead","Point","percent",NA,NA,2
"HHS Region 3","2 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 3","2 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 3","2 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 3","2 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 3","2 wk ahead","Bin","percent","0.4","0.5",2e-04
"HHS Region 3","2 wk ahead","Bin","percent","0.5","0.6",2e-04
"HHS Region 3","2 wk ahead","Bin","percent","0.6","0.7",0.001
"HHS Region 3","2 wk ahead","Bin","percent","0.7","0.8",0.0014
"HHS Region 3","2 wk ahead","Bin","percent","0.8","0.9",0.003
"HHS Region 3","2 wk ahead","Bin","percent","0.9","1.0",0.0076
"HHS Region 3","2 wk ahead","Bin","percent","1.0","1.1",0.0133
"HHS Region 3","2 wk ahead","Bin","percent","1.1","1.2",0.0173
"HHS Region 3","2 wk ahead","Bin","percent","1.2","1.3",0.028
"HHS Region 3","2 wk ahead","Bin","percent","1.3","1.4",0.0394
"HHS Region 3","2 wk ahead","Bin","percent","1.4","1.5",0.0475
"HHS Region 3","2 wk ahead","Bin","percent","1.5","1.6",0.0593
"HHS Region 3","2 wk ahead","Bin","percent","1.6","1.7",0.0652
"HHS Region 3","2 wk ahead","Bin","percent","1.7","1.8",0.0686
"HHS Region 3","2 wk ahead","Bin","percent","1.8","1.9",0.0729
"HHS Region 3","2 wk ahead","Bin","percent","1.9","2.0",0.0678
"HHS Region 3","2 wk ahead","Bin","percent","2.0","2.1",0.0646
"HHS Region 3","2 wk ahead","Bin","percent","2.1","2.2",0.0565
"HHS Region 3","2 wk ahead","Bin","percent","2.2","2.3",0.0549
"HHS Region 3","2 wk ahead","Bin","percent","2.3","2.4",0.0499
"HHS Region 3","2 wk ahead","Bin","percent","2.4","2.5",0.0436
"HHS Region 3","2 wk ahead","Bin","percent","2.5","2.6",0.0436
"HHS Region 3","2 wk ahead","Bin","percent","2.6","2.7",0.0311
"HHS Region 3","2 wk ahead","Bin","percent","2.7","2.8",0.0268
"HHS Region 3","2 wk ahead","Bin","percent","2.8","2.9",0.0255
"HHS Region 3","2 wk ahead","Bin","percent","2.9","3.0",0.0198
"HHS Region 3","2 wk ahead","Bin","percent","3.0","3.1",0.0144
"HHS Region 3","2 wk ahead","Bin","percent","3.1","3.2",0.0126
"HHS Region 3","2 wk ahead","Bin","percent","3.2","3.3",0.01
"HHS Region 3","2 wk ahead","Bin","percent","3.3","3.4",0.0091
"HHS Region 3","2 wk ahead","Bin","percent","3.4","3.5",0.0078
"HHS Region 3","2 wk ahead","Bin","percent","3.5","3.6",0.0063
"HHS Region 3","2 wk ahead","Bin","percent","3.6","3.7",0.006
"HHS Region 3","2 wk ahead","Bin","percent","3.7","3.8",0.0044
"HHS Region 3","2 wk ahead","Bin","percent","3.8","3.9",0.0038
"HHS Region 3","2 wk ahead","Bin","percent","3.9","4.0",0.0034
"HHS Region 3","2 wk ahead","Bin","percent","4.0","4.1",0.0025
"HHS Region 3","2 wk ahead","Bin","percent","4.1","4.2",0.0026
"HHS Region 3","2 wk ahead","Bin","percent","4.2","4.3",9e-04
"HHS Region 3","2 wk ahead","Bin","percent","4.3","4.4",6e-04
"HHS Region 3","2 wk ahead","Bin","percent","4.4","4.5",8e-04
"HHS Region 3","2 wk ahead","Bin","percent","4.5","4.6",8e-04
"HHS Region 3","2 wk ahead","Bin","percent","4.6","4.7",8e-04
"HHS Region 3","2 wk ahead","Bin","percent","4.7","4.8",6e-04
"HHS Region 3","2 wk ahead","Bin","percent","4.8","4.9",6e-04
"HHS Region 3","2 wk ahead","Bin","percent","4.9","5.0",7e-04
"HHS Region 3","2 wk ahead","Bin","percent","5.0","5.1",7e-04
"HHS Region 3","2 wk ahead","Bin","percent","5.1","5.2",6e-04
"HHS Region 3","2 wk ahead","Bin","percent","5.2","5.3",2e-04
"HHS Region 3","2 wk ahead","Bin","percent","5.3","5.4",2e-04
"HHS Region 3","2 wk ahead","Bin","percent","5.4","5.5",0
"HHS Region 3","2 wk ahead","Bin","percent","5.5","5.6",0
"HHS Region 3","2 wk ahead","Bin","percent","5.6","5.7",0
"HHS Region 3","2 wk ahead","Bin","percent","5.7","5.8",1e-04
"HHS Region 3","2 wk ahead","Bin","percent","5.8","5.9",1e-04
"HHS Region 3","2 wk ahead","Bin","percent","5.9","6.0",1e-04
"HHS Region 3","2 wk ahead","Bin","percent","6.0","6.1",0
"HHS Region 3","2 wk ahead","Bin","percent","6.1","6.2",0
"HHS Region 3","2 wk ahead","Bin","percent","6.2","6.3",1e-04
"HHS Region 3","2 wk ahead","Bin","percent","6.3","6.4",0
"HHS Region 3","2 wk ahead","Bin","percent","6.4","6.5",0
"HHS Region 3","2 wk ahead","Bin","percent","6.5","6.6",1e-04
"HHS Region 3","2 wk ahead","Bin","percent","6.6","6.7",1e-04
"HHS Region 3","2 wk ahead","Bin","percent","6.7","6.8",0
"HHS Region 3","2 wk ahead","Bin","percent","6.8","6.9",0
"HHS Region 3","2 wk ahead","Bin","percent","6.9","7.0",0
"HHS Region 3","2 wk ahead","Bin","percent","7.0","7.1",0
"HHS Region 3","2 wk ahead","Bin","percent","7.1","7.2",0
"HHS Region 3","2 wk ahead","Bin","percent","7.2","7.3",0
"HHS Region 3","2 wk ahead","Bin","percent","7.3","7.4",0
"HHS Region 3","2 wk ahead","Bin","percent","7.4","7.5",0
"HHS Region 3","2 wk ahead","Bin","percent","7.5","7.6",0
"HHS Region 3","2 wk ahead","Bin","percent","7.6","7.7",0
"HHS Region 3","2 wk ahead","Bin","percent","7.7","7.8",0
"HHS Region 3","2 wk ahead","Bin","percent","7.8","7.9",0
"HHS Region 3","2 wk ahead","Bin","percent","7.9","8.0",0
"HHS Region 3","2 wk ahead","Bin","percent","8.0","8.1",0
"HHS Region 3","2 wk ahead","Bin","percent","8.1","8.2",0
"HHS Region 3","2 wk ahead","Bin","percent","8.2","8.3",0
"HHS Region 3","2 wk ahead","Bin","percent","8.3","8.4",0
"HHS Region 3","2 wk ahead","Bin","percent","8.4","8.5",0
"HHS Region 3","2 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 3","2 wk ahead","Bin","percent","8.6","8.7",0
"HHS Region 3","2 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 3","2 wk ahead","Bin","percent","8.8","8.9",0
"HHS Region 3","2 wk ahead","Bin","percent","8.9","9.0",0
"HHS Region 3","2 wk ahead","Bin","percent","9.0","9.1",0
"HHS Region 3","2 wk ahead","Bin","percent","9.1","9.2",0
"HHS Region 3","2 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 3","2 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 3","2 wk ahead","Bin","percent","9.4","9.5",0
"HHS Region 3","2 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 3","2 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 3","2 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 3","2 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 3","2 wk ahead","Bin","percent","9.9","10.0",0
"HHS Region 3","2 wk ahead","Bin","percent","10.0","10.1",0
"HHS Region 3","2 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 3","2 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 3","2 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 3","2 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 3","2 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 3","2 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 3","2 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 3","2 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 3","2 wk ahead","Bin","percent","10.9","11.0",0
"HHS Region 3","2 wk ahead","Bin","percent","11.0","11.1",0
"HHS Region 3","2 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 3","2 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 3","2 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 3","2 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 3","2 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 3","2 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 3","2 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 3","2 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 3","2 wk ahead","Bin","percent","11.9","12.0",0
"HHS Region 3","2 wk ahead","Bin","percent","12.0","12.1",0
"HHS Region 3","2 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 3","2 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 3","2 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 3","2 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 3","2 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 3","2 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 3","2 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 3","2 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 3","2 wk ahead","Bin","percent","12.9","13.0",0
"HHS Region 3","2 wk ahead","Bin","percent","13.0","100.0",0
"HHS Region 3","3 wk ahead","Point","percent",NA,NA,1.7
"HHS Region 3","3 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 3","3 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 3","3 wk ahead","Bin","percent","0.2","0.3",2e-04
"HHS Region 3","3 wk ahead","Bin","percent","0.3","0.4",1e-04
"HHS Region 3","3 wk ahead","Bin","percent","0.4","0.5",9e-04
"HHS Region 3","3 wk ahead","Bin","percent","0.5","0.6",0.0018
"HHS Region 3","3 wk ahead","Bin","percent","0.6","0.7",0.0041
"HHS Region 3","3 wk ahead","Bin","percent","0.7","0.8",0.0086
"HHS Region 3","3 wk ahead","Bin","percent","0.8","0.9",0.0158
"HHS Region 3","3 wk ahead","Bin","percent","0.9","1.0",0.025
"HHS Region 3","3 wk ahead","Bin","percent","1.0","1.1",0.036
"HHS Region 3","3 wk ahead","Bin","percent","1.1","1.2",0.0473
"HHS Region 3","3 wk ahead","Bin","percent","1.2","1.3",0.0581
"HHS Region 3","3 wk ahead","Bin","percent","1.3","1.4",0.0665
"HHS Region 3","3 wk ahead","Bin","percent","1.4","1.5",0.0696
"HHS Region 3","3 wk ahead","Bin","percent","1.5","1.6",0.0705
"HHS Region 3","3 wk ahead","Bin","percent","1.6","1.7",0.0757
"HHS Region 3","3 wk ahead","Bin","percent","1.7","1.8",0.0698
"HHS Region 3","3 wk ahead","Bin","percent","1.8","1.9",0.066
"HHS Region 3","3 wk ahead","Bin","percent","1.9","2.0",0.0576
"HHS Region 3","3 wk ahead","Bin","percent","2.0","2.1",0.0512
"HHS Region 3","3 wk ahead","Bin","percent","2.1","2.2",0.0421
"HHS Region 3","3 wk ahead","Bin","percent","2.2","2.3",0.0409
"HHS Region 3","3 wk ahead","Bin","percent","2.3","2.4",0.037
"HHS Region 3","3 wk ahead","Bin","percent","2.4","2.5",0.0269
"HHS Region 3","3 wk ahead","Bin","percent","2.5","2.6",0.0217
"HHS Region 3","3 wk ahead","Bin","percent","2.6","2.7",0.02
"HHS Region 3","3 wk ahead","Bin","percent","2.7","2.8",0.0172
"HHS Region 3","3 wk ahead","Bin","percent","2.8","2.9",0.0127
"HHS Region 3","3 wk ahead","Bin","percent","2.9","3.0",0.0115
"HHS Region 3","3 wk ahead","Bin","percent","3.0","3.1",0.0081
"HHS Region 3","3 wk ahead","Bin","percent","3.1","3.2",0.0058
"HHS Region 3","3 wk ahead","Bin","percent","3.2","3.3",0.006
"HHS Region 3","3 wk ahead","Bin","percent","3.3","3.4",0.0037
"HHS Region 3","3 wk ahead","Bin","percent","3.4","3.5",0.0033
"HHS Region 3","3 wk ahead","Bin","percent","3.5","3.6",0.0027
"HHS Region 3","3 wk ahead","Bin","percent","3.6","3.7",0.0025
"HHS Region 3","3 wk ahead","Bin","percent","3.7","3.8",0.0025
"HHS Region 3","3 wk ahead","Bin","percent","3.8","3.9",0.002
"HHS Region 3","3 wk ahead","Bin","percent","3.9","4.0",0.0013
"HHS Region 3","3 wk ahead","Bin","percent","4.0","4.1",0.001
"HHS Region 3","3 wk ahead","Bin","percent","4.1","4.2",0.0011
"HHS Region 3","3 wk ahead","Bin","percent","4.2","4.3",3e-04
"HHS Region 3","3 wk ahead","Bin","percent","4.3","4.4",4e-04
"HHS Region 3","3 wk ahead","Bin","percent","4.4","4.5",8e-04
"HHS Region 3","3 wk ahead","Bin","percent","4.5","4.6",5e-04
"HHS Region 3","3 wk ahead","Bin","percent","4.6","4.7",5e-04
"HHS Region 3","3 wk ahead","Bin","percent","4.7","4.8",4e-04
"HHS Region 3","3 wk ahead","Bin","percent","4.8","4.9",5e-04
"HHS Region 3","3 wk ahead","Bin","percent","4.9","5.0",3e-04
"HHS Region 3","3 wk ahead","Bin","percent","5.0","5.1",3e-04
"HHS Region 3","3 wk ahead","Bin","percent","5.1","5.2",2e-04
"HHS Region 3","3 wk ahead","Bin","percent","5.2","5.3",2e-04
"HHS Region 3","3 wk ahead","Bin","percent","5.3","5.4",1e-04
"HHS Region 3","3 wk ahead","Bin","percent","5.4","5.5",2e-04
"HHS Region 3","3 wk ahead","Bin","percent","5.5","5.6",0
"HHS Region 3","3 wk ahead","Bin","percent","5.6","5.7",0
"HHS Region 3","3 wk ahead","Bin","percent","5.7","5.8",1e-04
"HHS Region 3","3 wk ahead","Bin","percent","5.8","5.9",0
"HHS Region 3","3 wk ahead","Bin","percent","5.9","6.0",1e-04
"HHS Region 3","3 wk ahead","Bin","percent","6.0","6.1",0
"HHS Region 3","3 wk ahead","Bin","percent","6.1","6.2",1e-04
"HHS Region 3","3 wk ahead","Bin","percent","6.2","6.3",0
"HHS Region 3","3 wk ahead","Bin","percent","6.3","6.4",0
"HHS Region 3","3 wk ahead","Bin","percent","6.4","6.5",0
"HHS Region 3","3 wk ahead","Bin","percent","6.5","6.6",0
"HHS Region 3","3 wk ahead","Bin","percent","6.6","6.7",1e-04
"HHS Region 3","3 wk ahead","Bin","percent","6.7","6.8",0
"HHS Region 3","3 wk ahead","Bin","percent","6.8","6.9",1e-04
"HHS Region 3","3 wk ahead","Bin","percent","6.9","7.0",0
"HHS Region 3","3 wk ahead","Bin","percent","7.0","7.1",0
"HHS Region 3","3 wk ahead","Bin","percent","7.1","7.2",0
"HHS Region 3","3 wk ahead","Bin","percent","7.2","7.3",0
"HHS Region 3","3 wk ahead","Bin","percent","7.3","7.4",0
"HHS Region 3","3 wk ahead","Bin","percent","7.4","7.5",0
"HHS Region 3","3 wk ahead","Bin","percent","7.5","7.6",0
"HHS Region 3","3 wk ahead","Bin","percent","7.6","7.7",0
"HHS Region 3","3 wk ahead","Bin","percent","7.7","7.8",0
"HHS Region 3","3 wk ahead","Bin","percent","7.8","7.9",0
"HHS Region 3","3 wk ahead","Bin","percent","7.9","8.0",0
"HHS Region 3","3 wk ahead","Bin","percent","8.0","8.1",0
"HHS Region 3","3 wk ahead","Bin","percent","8.1","8.2",0
"HHS Region 3","3 wk ahead","Bin","percent","8.2","8.3",0
"HHS Region 3","3 wk ahead","Bin","percent","8.3","8.4",0
"HHS Region 3","3 wk ahead","Bin","percent","8.4","8.5",0
"HHS Region 3","3 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 3","3 wk ahead","Bin","percent","8.6","8.7",0
"HHS Region 3","3 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 3","3 wk ahead","Bin","percent","8.8","8.9",0
"HHS Region 3","3 wk ahead","Bin","percent","8.9","9.0",0
"HHS Region 3","3 wk ahead","Bin","percent","9.0","9.1",0
"HHS Region 3","3 wk ahead","Bin","percent","9.1","9.2",0
"HHS Region 3","3 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 3","3 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 3","3 wk ahead","Bin","percent","9.4","9.5",0
"HHS Region 3","3 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 3","3 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 3","3 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 3","3 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 3","3 wk ahead","Bin","percent","9.9","10.0",0
"HHS Region 3","3 wk ahead","Bin","percent","10.0","10.1",0
"HHS Region 3","3 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 3","3 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 3","3 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 3","3 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 3","3 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 3","3 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 3","3 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 3","3 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 3","3 wk ahead","Bin","percent","10.9","11.0",0
"HHS Region 3","3 wk ahead","Bin","percent","11.0","11.1",0
"HHS Region 3","3 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 3","3 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 3","3 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 3","3 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 3","3 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 3","3 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 3","3 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 3","3 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 3","3 wk ahead","Bin","percent","11.9","12.0",0
"HHS Region 3","3 wk ahead","Bin","percent","12.0","12.1",0
"HHS Region 3","3 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 3","3 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 3","3 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 3","3 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 3","3 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 3","3 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 3","3 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 3","3 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 3","3 wk ahead","Bin","percent","12.9","13.0",0
"HHS Region 3","3 wk ahead","Bin","percent","13.0","100.0",0
"HHS Region 3","4 wk ahead","Point","percent",NA,NA,1.4
