"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 6","2 wk ahead","Bin","percent","7.0","7.1",0.0654
"HHS Region 6","2 wk ahead","Bin","percent","7.1","7.2",0.0447
"HHS Region 6","2 wk ahead","Bin","percent","7.2","7.3",0.0223
"HHS Region 6","2 wk ahead","Bin","percent","7.3","7.4",0.0398
"HHS Region 6","2 wk ahead","Bin","percent","7.4","7.5",0.0864
"HHS Region 6","2 wk ahead","Bin","percent","7.5","7.6",0.0606
"HHS Region 6","2 wk ahead","Bin","percent","7.6","7.7",0.0481
"HHS Region 6","2 wk ahead","Bin","percent","7.7","7.8",0.0433
"HHS Region 6","2 wk ahead","Bin","percent","7.8","7.9",0.04
"HHS Region 6","2 wk ahead","Bin","percent","7.9","8.0",0.0175
"HHS Region 6","2 wk ahead","Bin","percent","8.0","8.1",0.0151
"HHS Region 6","2 wk ahead","Bin","percent","8.1","8.2",0.0176
"HHS Region 6","2 wk ahead","Bin","percent","8.2","8.3",0.0067
"HHS Region 6","2 wk ahead","Bin","percent","8.3","8.4",0.0084
"HHS Region 6","2 wk ahead","Bin","percent","8.4","8.5",0.0115
"HHS Region 6","2 wk ahead","Bin","percent","8.5","8.6",0.008
"HHS Region 6","2 wk ahead","Bin","percent","8.6","8.7",0.009
"HHS Region 6","2 wk ahead","Bin","percent","8.7","8.8",0.0037
"HHS Region 6","2 wk ahead","Bin","percent","8.8","8.9",0.0025
"HHS Region 6","2 wk ahead","Bin","percent","8.9","9.0",0.0057
"HHS Region 6","2 wk ahead","Bin","percent","9.0","9.1",0.0022
"HHS Region 6","2 wk ahead","Bin","percent","9.1","9.2",0.0035
"HHS Region 6","2 wk ahead","Bin","percent","9.2","9.3",0.001
"HHS Region 6","2 wk ahead","Bin","percent","9.3","9.4",1e-04
"HHS Region 6","2 wk ahead","Bin","percent","9.4","9.5",2e-04
"HHS Region 6","2 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 6","2 wk ahead","Bin","percent","9.6","9.7",1e-04
"HHS Region 6","2 wk ahead","Bin","percent","9.7","9.8",7e-04
"HHS Region 6","2 wk ahead","Bin","percent","9.8","9.9",2e-04
"HHS Region 6","2 wk ahead","Bin","percent","9.9","10.0",1e-04
"HHS Region 6","2 wk ahead","Bin","percent","10.0","10.1",0
"HHS Region 6","2 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 6","2 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 6","2 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 6","2 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 6","2 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 6","2 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 6","2 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 6","2 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 6","2 wk ahead","Bin","percent","10.9","11.0",0
"HHS Region 6","2 wk ahead","Bin","percent","11.0","11.1",0
"HHS Region 6","2 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 6","2 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 6","2 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 6","2 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 6","2 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 6","2 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 6","2 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 6","2 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 6","2 wk ahead","Bin","percent","11.9","12.0",0
"HHS Region 6","2 wk ahead","Bin","percent","12.0","12.1",0
"HHS Region 6","2 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 6","2 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 6","2 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 6","2 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 6","2 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 6","2 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 6","2 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 6","2 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 6","2 wk ahead","Bin","percent","12.9","13.0",0
"HHS Region 6","2 wk ahead","Bin","percent","13.0","100.0",0
"HHS Region 6","3 wk ahead","Point","percent",NA,NA,5.7
"HHS Region 6","3 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 6","3 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 6","3 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 6","3 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 6","3 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 6","3 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 6","3 wk ahead","Bin","percent","0.6","0.7",0
"HHS Region 6","3 wk ahead","Bin","percent","0.7","0.8",0
"HHS Region 6","3 wk ahead","Bin","percent","0.8","0.9",0
"HHS Region 6","3 wk ahead","Bin","percent","0.9","1.0",0
"HHS Region 6","3 wk ahead","Bin","percent","1.0","1.1",0
"HHS Region 6","3 wk ahead","Bin","percent","1.1","1.2",0
"HHS Region 6","3 wk ahead","Bin","percent","1.2","1.3",0
"HHS Region 6","3 wk ahead","Bin","percent","1.3","1.4",0
"HHS Region 6","3 wk ahead","Bin","percent","1.4","1.5",0
"HHS Region 6","3 wk ahead","Bin","percent","1.5","1.6",0
"HHS Region 6","3 wk ahead","Bin","percent","1.6","1.7",0
"HHS Region 6","3 wk ahead","Bin","percent","1.7","1.8",0
"HHS Region 6","3 wk ahead","Bin","percent","1.8","1.9",0
"HHS Region 6","3 wk ahead","Bin","percent","1.9","2.0",0
"HHS Region 6","3 wk ahead","Bin","percent","2.0","2.1",0
"HHS Region 6","3 wk ahead","Bin","percent","2.1","2.2",0
"HHS Region 6","3 wk ahead","Bin","percent","2.2","2.3",0
"HHS Region 6","3 wk ahead","Bin","percent","2.3","2.4",0
"HHS Region 6","3 wk ahead","Bin","percent","2.4","2.5",0
"HHS Region 6","3 wk ahead","Bin","percent","2.5","2.6",0
"HHS Region 6","3 wk ahead","Bin","percent","2.6","2.7",0
"HHS Region 6","3 wk ahead","Bin","percent","2.7","2.8",0
"HHS Region 6","3 wk ahead","Bin","percent","2.8","2.9",0
"HHS Region 6","3 wk ahead","Bin","percent","2.9","3.0",0
"HHS Region 6","3 wk ahead","Bin","percent","3.0","3.1",0
"HHS Region 6","3 wk ahead","Bin","percent","3.1","3.2",0
"HHS Region 6","3 wk ahead","Bin","percent","3.2","3.3",0
"HHS Region 6","3 wk ahead","Bin","percent","3.3","3.4",0
"HHS Region 6","3 wk ahead","Bin","percent","3.4","3.5",0
"HHS Region 6","3 wk ahead","Bin","percent","3.5","3.6",0
"HHS Region 6","3 wk ahead","Bin","percent","3.6","3.7",0
"HHS Region 6","3 wk ahead","Bin","percent","3.7","3.8",0
"HHS Region 6","3 wk ahead","Bin","percent","3.8","3.9",0
"HHS Region 6","3 wk ahead","Bin","percent","3.9","4.0",0
"HHS Region 6","3 wk ahead","Bin","percent","4.0","4.1",0
"HHS Region 6","3 wk ahead","Bin","percent","4.1","4.2",0.0046
"HHS Region 6","3 wk ahead","Bin","percent","4.2","4.3",0
"HHS Region 6","3 wk ahead","Bin","percent","4.3","4.4",0.0057
"HHS Region 6","3 wk ahead","Bin","percent","4.4","4.5",0.0354
"HHS Region 6","3 wk ahead","Bin","percent","4.5","4.6",0.0109
"HHS Region 6","3 wk ahead","Bin","percent","4.6","4.7",0.0168
"HHS Region 6","3 wk ahead","Bin","percent","4.7","4.8",0.0233
"HHS Region 6","3 wk ahead","Bin","percent","4.8","4.9",0.0117
"HHS Region 6","3 wk ahead","Bin","percent","4.9","5.0",0.0455
"HHS Region 6","3 wk ahead","Bin","percent","5.0","5.1",0.0353
"HHS Region 6","3 wk ahead","Bin","percent","5.1","5.2",0.0262
"HHS Region 6","3 wk ahead","Bin","percent","5.2","5.3",0.0504
"HHS Region 6","3 wk ahead","Bin","percent","5.3","5.4",0.0477
"HHS Region 6","3 wk ahead","Bin","percent","5.4","5.5",0.0618
"HHS Region 6","3 wk ahead","Bin","percent","5.5","5.6",0.0295
"HHS Region 6","3 wk ahead","Bin","percent","5.6","5.7",0.0503
"HHS Region 6","3 wk ahead","Bin","percent","5.7","5.8",0.0519
"HHS Region 6","3 wk ahead","Bin","percent","5.8","5.9",0.0528
"HHS Region 6","3 wk ahead","Bin","percent","5.9","6.0",0.0458
"HHS Region 6","3 wk ahead","Bin","percent","6.0","6.1",0.0399
"HHS Region 6","3 wk ahead","Bin","percent","6.1","6.2",0.0736
"HHS Region 6","3 wk ahead","Bin","percent","6.2","6.3",0.0644
"HHS Region 6","3 wk ahead","Bin","percent","6.3","6.4",0.0319
"HHS Region 6","3 wk ahead","Bin","percent","6.4","6.5",0.0425
"HHS Region 6","3 wk ahead","Bin","percent","6.5","6.6",0.0181
"HHS Region 6","3 wk ahead","Bin","percent","6.6","6.7",0.0109
"HHS Region 6","3 wk ahead","Bin","percent","6.7","6.8",0.041
"HHS Region 6","3 wk ahead","Bin","percent","6.8","6.9",0.0234
"HHS Region 6","3 wk ahead","Bin","percent","6.9","7.0",0.0111
"HHS Region 6","3 wk ahead","Bin","percent","7.0","7.1",0.0028
"HHS Region 6","3 wk ahead","Bin","percent","7.1","7.2",0.0108
"HHS Region 6","3 wk ahead","Bin","percent","7.2","7.3",0.0097
"HHS Region 6","3 wk ahead","Bin","percent","7.3","7.4",0.0031
"HHS Region 6","3 wk ahead","Bin","percent","7.4","7.5",0.0016
"HHS Region 6","3 wk ahead","Bin","percent","7.5","7.6",0.0048
"HHS Region 6","3 wk ahead","Bin","percent","7.6","7.7",0.0026
"HHS Region 6","3 wk ahead","Bin","percent","7.7","7.8",5e-04
"HHS Region 6","3 wk ahead","Bin","percent","7.8","7.9",2e-04
"HHS Region 6","3 wk ahead","Bin","percent","7.9","8.0",0
"HHS Region 6","3 wk ahead","Bin","percent","8.0","8.1",1e-04
"HHS Region 6","3 wk ahead","Bin","percent","8.1","8.2",8e-04
"HHS Region 6","3 wk ahead","Bin","percent","8.2","8.3",4e-04
"HHS Region 6","3 wk ahead","Bin","percent","8.3","8.4",2e-04
"HHS Region 6","3 wk ahead","Bin","percent","8.4","8.5",0
"HHS Region 6","3 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 6","3 wk ahead","Bin","percent","8.6","8.7",0
"HHS Region 6","3 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 6","3 wk ahead","Bin","percent","8.8","8.9",0
"HHS Region 6","3 wk ahead","Bin","percent","8.9","9.0",0
"HHS Region 6","3 wk ahead","Bin","percent","9.0","9.1",0
"HHS Region 6","3 wk ahead","Bin","percent","9.1","9.2",0
"HHS Region 6","3 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 6","3 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 6","3 wk ahead","Bin","percent","9.4","9.5",0
"HHS Region 6","3 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 6","3 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 6","3 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 6","3 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 6","3 wk ahead","Bin","percent","9.9","10.0",0
"HHS Region 6","3 wk ahead","Bin","percent","10.0","10.1",0
"HHS Region 6","3 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 6","3 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 6","3 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 6","3 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 6","3 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 6","3 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 6","3 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 6","3 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 6","3 wk ahead","Bin","percent","10.9","11.0",0
"HHS Region 6","3 wk ahead","Bin","percent","11.0","11.1",0
"HHS Region 6","3 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 6","3 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 6","3 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 6","3 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 6","3 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 6","3 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 6","3 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 6","3 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 6","3 wk ahead","Bin","percent","11.9","12.0",0
"HHS Region 6","3 wk ahead","Bin","percent","12.0","12.1",0
"HHS Region 6","3 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 6","3 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 6","3 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 6","3 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 6","3 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 6","3 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 6","3 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 6","3 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 6","3 wk ahead","Bin","percent","12.9","13.0",0
"HHS Region 6","3 wk ahead","Bin","percent","13.0","100.0",0
"HHS Region 6","4 wk ahead","Point","percent",NA,NA,4.6
"HHS Region 6","4 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 6","4 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 6","4 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 6","4 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 6","4 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 6","4 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 6","4 wk ahead","Bin","percent","0.6","0.7",0
"HHS Region 6","4 wk ahead","Bin","percent","0.7","0.8",0
"HHS Region 6","4 wk ahead","Bin","percent","0.8","0.9",0
"HHS Region 6","4 wk ahead","Bin","percent","0.9","1.0",0
"HHS Region 6","4 wk ahead","Bin","percent","1.0","1.1",0
"HHS Region 6","4 wk ahead","Bin","percent","1.1","1.2",0
"HHS Region 6","4 wk ahead","Bin","percent","1.2","1.3",0
"HHS Region 6","4 wk ahead","Bin","percent","1.3","1.4",0
"HHS Region 6","4 wk ahead","Bin","percent","1.4","1.5",0
"HHS Region 6","4 wk ahead","Bin","percent","1.5","1.6",0
"HHS Region 6","4 wk ahead","Bin","percent","1.6","1.7",0
"HHS Region 6","4 wk ahead","Bin","percent","1.7","1.8",0
"HHS Region 6","4 wk ahead","Bin","percent","1.8","1.9",0
"HHS Region 6","4 wk ahead","Bin","percent","1.9","2.0",0
"HHS Region 6","4 wk ahead","Bin","percent","2.0","2.1",0
"HHS Region 6","4 wk ahead","Bin","percent","2.1","2.2",0
"HHS Region 6","4 wk ahead","Bin","percent","2.2","2.3",0
"HHS Region 6","4 wk ahead","Bin","percent","2.3","2.4",0
"HHS Region 6","4 wk ahead","Bin","percent","2.4","2.5",0
"HHS Region 6","4 wk ahead","Bin","percent","2.5","2.6",0
"HHS Region 6","4 wk ahead","Bin","percent","2.6","2.7",0
"HHS Region 6","4 wk ahead","Bin","percent","2.7","2.8",0
"HHS Region 6","4 wk ahead","Bin","percent","2.8","2.9",0
"HHS Region 6","4 wk ahead","Bin","percent","2.9","3.0",0
"HHS Region 6","4 wk ahead","Bin","percent","3.0","3.1",0
"HHS Region 6","4 wk ahead","Bin","percent","3.1","3.2",0
"HHS Region 6","4 wk ahead","Bin","percent","3.2","3.3",0
"HHS Region 6","4 wk ahead","Bin","percent","3.3","3.4",0.0053
"HHS Region 6","4 wk ahead","Bin","percent","3.4","3.5",0.0039
"HHS Region 6","4 wk ahead","Bin","percent","3.5","3.6",0.0048
"HHS Region 6","4 wk ahead","Bin","percent","3.6","3.7",0.0349
"HHS Region 6","4 wk ahead","Bin","percent","3.7","3.8",0.0414
"HHS Region 6","4 wk ahead","Bin","percent","3.8","3.9",0.013
"HHS Region 6","4 wk ahead","Bin","percent","3.9","4.0",0.0259
"HHS Region 6","4 wk ahead","Bin","percent","4.0","4.1",0.0597
"HHS Region 6","4 wk ahead","Bin","percent","4.1","4.2",0.0388
"HHS Region 6","4 wk ahead","Bin","percent","4.2","4.3",0.0568
"HHS Region 6","4 wk ahead","Bin","percent","4.3","4.4",0.0536
"HHS Region 6","4 wk ahead","Bin","percent","4.4","4.5",0.0777
"HHS Region 6","4 wk ahead","Bin","percent","4.5","4.6",0.0525
"HHS Region 6","4 wk ahead","Bin","percent","4.6","4.7",0.0485
"HHS Region 6","4 wk ahead","Bin","percent","4.7","4.8",0.0629
"HHS Region 6","4 wk ahead","Bin","percent","4.8","4.9",0.0413
"HHS Region 6","4 wk ahead","Bin","percent","4.9","5.0",0.0382
"HHS Region 6","4 wk ahead","Bin","percent","5.0","5.1",0.0756
"HHS Region 6","4 wk ahead","Bin","percent","5.1","5.2",0.0646
"HHS Region 6","4 wk ahead","Bin","percent","5.2","5.3",0.0358
"HHS Region 6","4 wk ahead","Bin","percent","5.3","5.4",0.0317
"HHS Region 6","4 wk ahead","Bin","percent","5.4","5.5",0.0144
"HHS Region 6","4 wk ahead","Bin","percent","5.5","5.6",0.0125
"HHS Region 6","4 wk ahead","Bin","percent","5.6","5.7",0.0311
"HHS Region 6","4 wk ahead","Bin","percent","5.7","5.8",0.0259
"HHS Region 6","4 wk ahead","Bin","percent","5.8","5.9",0.014
"HHS Region 6","4 wk ahead","Bin","percent","5.9","6.0",0.0169
"HHS Region 6","4 wk ahead","Bin","percent","6.0","6.1",0.0064
"HHS Region 6","4 wk ahead","Bin","percent","6.1","6.2",0.0023
"HHS Region 6","4 wk ahead","Bin","percent","6.2","6.3",0.0017
"HHS Region 6","4 wk ahead","Bin","percent","6.3","6.4",0.0042
"HHS Region 6","4 wk ahead","Bin","percent","6.4","6.5",0.0014
"HHS Region 6","4 wk ahead","Bin","percent","6.5","6.6",0.0019
"HHS Region 6","4 wk ahead","Bin","percent","6.6","6.7",3e-04
"HHS Region 6","4 wk ahead","Bin","percent","6.7","6.8",1e-04
"HHS Region 6","4 wk ahead","Bin","percent","6.8","6.9",0
"HHS Region 6","4 wk ahead","Bin","percent","6.9","7.0",0
"HHS Region 6","4 wk ahead","Bin","percent","7.0","7.1",0
"HHS Region 6","4 wk ahead","Bin","percent","7.1","7.2",0
"HHS Region 6","4 wk ahead","Bin","percent","7.2","7.3",0
"HHS Region 6","4 wk ahead","Bin","percent","7.3","7.4",0
"HHS Region 6","4 wk ahead","Bin","percent","7.4","7.5",0
"HHS Region 6","4 wk ahead","Bin","percent","7.5","7.6",0
"HHS Region 6","4 wk ahead","Bin","percent","7.6","7.7",0
"HHS Region 6","4 wk ahead","Bin","percent","7.7","7.8",0
"HHS Region 6","4 wk ahead","Bin","percent","7.8","7.9",0
"HHS Region 6","4 wk ahead","Bin","percent","7.9","8.0",0
"HHS Region 6","4 wk ahead","Bin","percent","8.0","8.1",0
"HHS Region 6","4 wk ahead","Bin","percent","8.1","8.2",0
"HHS Region 6","4 wk ahead","Bin","percent","8.2","8.3",0
"HHS Region 6","4 wk ahead","Bin","percent","8.3","8.4",0
"HHS Region 6","4 wk ahead","Bin","percent","8.4","8.5",0
"HHS Region 6","4 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 6","4 wk ahead","Bin","percent","8.6","8.7",0
"HHS Region 6","4 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 6","4 wk ahead","Bin","percent","8.8","8.9",0
"HHS Region 6","4 wk ahead","Bin","percent","8.9","9.0",0
"HHS Region 6","4 wk ahead","Bin","percent","9.0","9.1",0
"HHS Region 6","4 wk ahead","Bin","percent","9.1","9.2",0
"HHS Region 6","4 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 6","4 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 6","4 wk ahead","Bin","percent","9.4","9.5",0
"HHS Region 6","4 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 6","4 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 6","4 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 6","4 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 6","4 wk ahead","Bin","percent","9.9","10.0",0
"HHS Region 6","4 wk ahead","Bin","percent","10.0","10.1",0
"HHS Region 6","4 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 6","4 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 6","4 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 6","4 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 6","4 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 6","4 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 6","4 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 6","4 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 6","4 wk ahead","Bin","percent","10.9","11.0",0
"HHS Region 6","4 wk ahead","Bin","percent","11.0","11.1",0
"HHS Region 6","4 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 6","4 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 6","4 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 6","4 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 6","4 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 6","4 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 6","4 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 6","4 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 6","4 wk ahead","Bin","percent","11.9","12.0",0
"HHS Region 6","4 wk ahead","Bin","percent","12.0","12.1",0
"HHS Region 6","4 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 6","4 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 6","4 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 6","4 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 6","4 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 6","4 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 6","4 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 6","4 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 6","4 wk ahead","Bin","percent","12.9","13.0",0
"HHS Region 6","4 wk ahead","Bin","percent","13.0","100.0",0
"HHS Region 7","1 wk ahead","Point","percent",NA,NA,3.9
"HHS Region 7","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 7","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 7","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 7","1 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 7","1 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 7","1 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 7","1 wk ahead","Bin","percent","0.6","0.7",0
"HHS Region 7","1 wk ahead","Bin","percent","0.7","0.8",0
"HHS Region 7","1 wk ahead","Bin","percent","0.8","0.9",0
"HHS Region 7","1 wk ahead","Bin","percent","0.9","1.0",0
"HHS Region 7","1 wk ahead","Bin","percent","1.0","1.1",0
"HHS Region 7","1 wk ahead","Bin","percent","1.1","1.2",0
"HHS Region 7","1 wk ahead","Bin","percent","1.2","1.3",0
"HHS Region 7","1 wk ahead","Bin","percent","1.3","1.4",0
"HHS Region 7","1 wk ahead","Bin","percent","1.4","1.5",0
"HHS Region 7","1 wk ahead","Bin","percent","1.5","1.6",0
"HHS Region 7","1 wk ahead","Bin","percent","1.6","1.7",0
"HHS Region 7","1 wk ahead","Bin","percent","1.7","1.8",0
"HHS Region 7","1 wk ahead","Bin","percent","1.8","1.9",0
"HHS Region 7","1 wk ahead","Bin","percent","1.9","2.0",0
"HHS Region 7","1 wk ahead","Bin","percent","2.0","2.1",0
"HHS Region 7","1 wk ahead","Bin","percent","2.1","2.2",0
"HHS Region 7","1 wk ahead","Bin","percent","2.2","2.3",0
"HHS Region 7","1 wk ahead","Bin","percent","2.3","2.4",0
"HHS Region 7","1 wk ahead","Bin","percent","2.4","2.5",0
