"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 5","3 wk ahead","Bin","percent","7.1","7.2",7e-04
"HHS Region 5","3 wk ahead","Bin","percent","7.2","7.3",4e-04
"HHS Region 5","3 wk ahead","Bin","percent","7.3","7.4",8e-04
"HHS Region 5","3 wk ahead","Bin","percent","7.4","7.5",7e-04
"HHS Region 5","3 wk ahead","Bin","percent","7.5","7.6",0.001
"HHS Region 5","3 wk ahead","Bin","percent","7.6","7.7",5e-04
"HHS Region 5","3 wk ahead","Bin","percent","7.7","7.8",0.0012
"HHS Region 5","3 wk ahead","Bin","percent","7.8","7.9",5e-04
"HHS Region 5","3 wk ahead","Bin","percent","7.9","8.0",3e-04
"HHS Region 5","3 wk ahead","Bin","percent","8.0","8.1",9e-04
"HHS Region 5","3 wk ahead","Bin","percent","8.1","8.2",8e-04
"HHS Region 5","3 wk ahead","Bin","percent","8.2","8.3",0.0014
"HHS Region 5","3 wk ahead","Bin","percent","8.3","8.4",0.001
"HHS Region 5","3 wk ahead","Bin","percent","8.4","8.5",4e-04
"HHS Region 5","3 wk ahead","Bin","percent","8.5","8.6",5e-04
"HHS Region 5","3 wk ahead","Bin","percent","8.6","8.7",8e-04
"HHS Region 5","3 wk ahead","Bin","percent","8.7","8.8",5e-04
"HHS Region 5","3 wk ahead","Bin","percent","8.8","8.9",6e-04
"HHS Region 5","3 wk ahead","Bin","percent","8.9","9.0",8e-04
"HHS Region 5","3 wk ahead","Bin","percent","9.0","9.1",0.0015
"HHS Region 5","3 wk ahead","Bin","percent","9.1","9.2",5e-04
"HHS Region 5","3 wk ahead","Bin","percent","9.2","9.3",7e-04
"HHS Region 5","3 wk ahead","Bin","percent","9.3","9.4",9e-04
"HHS Region 5","3 wk ahead","Bin","percent","9.4","9.5",8e-04
"HHS Region 5","3 wk ahead","Bin","percent","9.5","9.6",9e-04
"HHS Region 5","3 wk ahead","Bin","percent","9.6","9.7",0.0011
"HHS Region 5","3 wk ahead","Bin","percent","9.7","9.8",0.0011
"HHS Region 5","3 wk ahead","Bin","percent","9.8","9.9",5e-04
"HHS Region 5","3 wk ahead","Bin","percent","9.9","10.0",7e-04
"HHS Region 5","3 wk ahead","Bin","percent","10.0","10.1",6e-04
"HHS Region 5","3 wk ahead","Bin","percent","10.1","10.2",6e-04
"HHS Region 5","3 wk ahead","Bin","percent","10.2","10.3",4e-04
"HHS Region 5","3 wk ahead","Bin","percent","10.3","10.4",9e-04
"HHS Region 5","3 wk ahead","Bin","percent","10.4","10.5",7e-04
"HHS Region 5","3 wk ahead","Bin","percent","10.5","10.6",4e-04
"HHS Region 5","3 wk ahead","Bin","percent","10.6","10.7",0.001
"HHS Region 5","3 wk ahead","Bin","percent","10.7","10.8",7e-04
"HHS Region 5","3 wk ahead","Bin","percent","10.8","10.9",0.001
"HHS Region 5","3 wk ahead","Bin","percent","10.9","11.0",0.001
"HHS Region 5","3 wk ahead","Bin","percent","11.0","11.1",7e-04
"HHS Region 5","3 wk ahead","Bin","percent","11.1","11.2",3e-04
"HHS Region 5","3 wk ahead","Bin","percent","11.2","11.3",6e-04
"HHS Region 5","3 wk ahead","Bin","percent","11.3","11.4",7e-04
"HHS Region 5","3 wk ahead","Bin","percent","11.4","11.5",0.0013
"HHS Region 5","3 wk ahead","Bin","percent","11.5","11.6",0.0011
"HHS Region 5","3 wk ahead","Bin","percent","11.6","11.7",7e-04
"HHS Region 5","3 wk ahead","Bin","percent","11.7","11.8",9e-04
"HHS Region 5","3 wk ahead","Bin","percent","11.8","11.9",3e-04
"HHS Region 5","3 wk ahead","Bin","percent","11.9","12.0",0.0011
"HHS Region 5","3 wk ahead","Bin","percent","12.0","12.1",2e-04
"HHS Region 5","3 wk ahead","Bin","percent","12.1","12.2",7e-04
"HHS Region 5","3 wk ahead","Bin","percent","12.2","12.3",7e-04
"HHS Region 5","3 wk ahead","Bin","percent","12.3","12.4",0.0015
"HHS Region 5","3 wk ahead","Bin","percent","12.4","12.5",5e-04
"HHS Region 5","3 wk ahead","Bin","percent","12.5","12.6",0.001
"HHS Region 5","3 wk ahead","Bin","percent","12.6","12.7",4e-04
"HHS Region 5","3 wk ahead","Bin","percent","12.7","12.8",3e-04
"HHS Region 5","3 wk ahead","Bin","percent","12.8","12.9",4e-04
"HHS Region 5","3 wk ahead","Bin","percent","12.9","13.0",0.001
"HHS Region 5","3 wk ahead","Bin","percent","13.0","100.0",0.0015
"HHS Region 5","4 wk ahead","Point","percent",NA,NA,1.1
"HHS Region 5","4 wk ahead","Bin","percent","0.0","0.1",7e-04
"HHS Region 5","4 wk ahead","Bin","percent","0.1","0.2",5e-04
"HHS Region 5","4 wk ahead","Bin","percent","0.2","0.3",8e-04
"HHS Region 5","4 wk ahead","Bin","percent","0.3","0.4",8e-04
"HHS Region 5","4 wk ahead","Bin","percent","0.4","0.5",9e-04
"HHS Region 5","4 wk ahead","Bin","percent","0.5","0.6",0.0014
"HHS Region 5","4 wk ahead","Bin","percent","0.6","0.7",0.0064
"HHS Region 5","4 wk ahead","Bin","percent","0.7","0.8",0.0248
"HHS Region 5","4 wk ahead","Bin","percent","0.8","0.9",0.0622
"HHS Region 5","4 wk ahead","Bin","percent","0.9","1.0",0.137
"HHS Region 5","4 wk ahead","Bin","percent","1.0","1.1",0.2003
"HHS Region 5","4 wk ahead","Bin","percent","1.1","1.2",0.1857
"HHS Region 5","4 wk ahead","Bin","percent","1.2","1.3",0.1368
"HHS Region 5","4 wk ahead","Bin","percent","1.3","1.4",0.0734
"HHS Region 5","4 wk ahead","Bin","percent","1.4","1.5",0.0411
"HHS Region 5","4 wk ahead","Bin","percent","1.5","1.6",0.015
"HHS Region 5","4 wk ahead","Bin","percent","1.6","1.7",0.0076
"HHS Region 5","4 wk ahead","Bin","percent","1.7","1.8",0.0072
"HHS Region 5","4 wk ahead","Bin","percent","1.8","1.9",0.0038
"HHS Region 5","4 wk ahead","Bin","percent","1.9","2.0",0.0042
"HHS Region 5","4 wk ahead","Bin","percent","2.0","2.1",0.0035
"HHS Region 5","4 wk ahead","Bin","percent","2.1","2.2",0.002
"HHS Region 5","4 wk ahead","Bin","percent","2.2","2.3",0.0015
"HHS Region 5","4 wk ahead","Bin","percent","2.3","2.4",0.0013
"HHS Region 5","4 wk ahead","Bin","percent","2.4","2.5",6e-04
"HHS Region 5","4 wk ahead","Bin","percent","2.5","2.6",5e-04
"HHS Region 5","4 wk ahead","Bin","percent","2.6","2.7",5e-04
"HHS Region 5","4 wk ahead","Bin","percent","2.7","2.8",1e-04
"HHS Region 5","4 wk ahead","Bin","percent","2.8","2.9",6e-04
"HHS Region 5","4 wk ahead","Bin","percent","2.9","3.0",0.0011
"HHS Region 5","4 wk ahead","Bin","percent","3.0","3.1",0.0013
"HHS Region 5","4 wk ahead","Bin","percent","3.1","3.2",5e-04
"HHS Region 5","4 wk ahead","Bin","percent","3.2","3.3",0.0011
"HHS Region 5","4 wk ahead","Bin","percent","3.3","3.4",9e-04
"HHS Region 5","4 wk ahead","Bin","percent","3.4","3.5",6e-04
"HHS Region 5","4 wk ahead","Bin","percent","3.5","3.6",0.0012
"HHS Region 5","4 wk ahead","Bin","percent","3.6","3.7",6e-04
"HHS Region 5","4 wk ahead","Bin","percent","3.7","3.8",0.001
"HHS Region 5","4 wk ahead","Bin","percent","3.8","3.9",5e-04
"HHS Region 5","4 wk ahead","Bin","percent","3.9","4.0",7e-04
"HHS Region 5","4 wk ahead","Bin","percent","4.0","4.1",0.001
"HHS Region 5","4 wk ahead","Bin","percent","4.1","4.2",4e-04
"HHS Region 5","4 wk ahead","Bin","percent","4.2","4.3",5e-04
"HHS Region 5","4 wk ahead","Bin","percent","4.3","4.4",6e-04
"HHS Region 5","4 wk ahead","Bin","percent","4.4","4.5",8e-04
"HHS Region 5","4 wk ahead","Bin","percent","4.5","4.6",6e-04
"HHS Region 5","4 wk ahead","Bin","percent","4.6","4.7",5e-04
"HHS Region 5","4 wk ahead","Bin","percent","4.7","4.8",8e-04
"HHS Region 5","4 wk ahead","Bin","percent","4.8","4.9",8e-04
"HHS Region 5","4 wk ahead","Bin","percent","4.9","5.0",2e-04
"HHS Region 5","4 wk ahead","Bin","percent","5.0","5.1",5e-04
"HHS Region 5","4 wk ahead","Bin","percent","5.1","5.2",7e-04
"HHS Region 5","4 wk ahead","Bin","percent","5.2","5.3",8e-04
"HHS Region 5","4 wk ahead","Bin","percent","5.3","5.4",7e-04
"HHS Region 5","4 wk ahead","Bin","percent","5.4","5.5",8e-04
"HHS Region 5","4 wk ahead","Bin","percent","5.5","5.6",7e-04
"HHS Region 5","4 wk ahead","Bin","percent","5.6","5.7",0.0019
"HHS Region 5","4 wk ahead","Bin","percent","5.7","5.8",6e-04
"HHS Region 5","4 wk ahead","Bin","percent","5.8","5.9",9e-04
"HHS Region 5","4 wk ahead","Bin","percent","5.9","6.0",4e-04
"HHS Region 5","4 wk ahead","Bin","percent","6.0","6.1",7e-04
"HHS Region 5","4 wk ahead","Bin","percent","6.1","6.2",6e-04
"HHS Region 5","4 wk ahead","Bin","percent","6.2","6.3",7e-04
"HHS Region 5","4 wk ahead","Bin","percent","6.3","6.4",6e-04
"HHS Region 5","4 wk ahead","Bin","percent","6.4","6.5",9e-04
"HHS Region 5","4 wk ahead","Bin","percent","6.5","6.6",8e-04
"HHS Region 5","4 wk ahead","Bin","percent","6.6","6.7",8e-04
"HHS Region 5","4 wk ahead","Bin","percent","6.7","6.8",8e-04
"HHS Region 5","4 wk ahead","Bin","percent","6.8","6.9",7e-04
"HHS Region 5","4 wk ahead","Bin","percent","6.9","7.0",0.0011
"HHS Region 5","4 wk ahead","Bin","percent","7.0","7.1",6e-04
"HHS Region 5","4 wk ahead","Bin","percent","7.1","7.2",3e-04
"HHS Region 5","4 wk ahead","Bin","percent","7.2","7.3",7e-04
"HHS Region 5","4 wk ahead","Bin","percent","7.3","7.4",3e-04
"HHS Region 5","4 wk ahead","Bin","percent","7.4","7.5",8e-04
"HHS Region 5","4 wk ahead","Bin","percent","7.5","7.6",0.0011
"HHS Region 5","4 wk ahead","Bin","percent","7.6","7.7",4e-04
"HHS Region 5","4 wk ahead","Bin","percent","7.7","7.8",0.0011
"HHS Region 5","4 wk ahead","Bin","percent","7.8","7.9",8e-04
"HHS Region 5","4 wk ahead","Bin","percent","7.9","8.0",0.0014
"HHS Region 5","4 wk ahead","Bin","percent","8.0","8.1",7e-04
"HHS Region 5","4 wk ahead","Bin","percent","8.1","8.2",0.0012
"HHS Region 5","4 wk ahead","Bin","percent","8.2","8.3",4e-04
"HHS Region 5","4 wk ahead","Bin","percent","8.3","8.4",0.001
"HHS Region 5","4 wk ahead","Bin","percent","8.4","8.5",8e-04
"HHS Region 5","4 wk ahead","Bin","percent","8.5","8.6",7e-04
"HHS Region 5","4 wk ahead","Bin","percent","8.6","8.7",9e-04
"HHS Region 5","4 wk ahead","Bin","percent","8.7","8.8",0.0017
"HHS Region 5","4 wk ahead","Bin","percent","8.8","8.9",4e-04
"HHS Region 5","4 wk ahead","Bin","percent","8.9","9.0",5e-04
"HHS Region 5","4 wk ahead","Bin","percent","9.0","9.1",2e-04
"HHS Region 5","4 wk ahead","Bin","percent","9.1","9.2",0.001
"HHS Region 5","4 wk ahead","Bin","percent","9.2","9.3",0.001
"HHS Region 5","4 wk ahead","Bin","percent","9.3","9.4",0.0011
"HHS Region 5","4 wk ahead","Bin","percent","9.4","9.5",3e-04
"HHS Region 5","4 wk ahead","Bin","percent","9.5","9.6",0.0011
"HHS Region 5","4 wk ahead","Bin","percent","9.6","9.7",7e-04
"HHS Region 5","4 wk ahead","Bin","percent","9.7","9.8",0.001
"HHS Region 5","4 wk ahead","Bin","percent","9.8","9.9",9e-04
"HHS Region 5","4 wk ahead","Bin","percent","9.9","10.0",5e-04
"HHS Region 5","4 wk ahead","Bin","percent","10.0","10.1",0.001
"HHS Region 5","4 wk ahead","Bin","percent","10.1","10.2",8e-04
"HHS Region 5","4 wk ahead","Bin","percent","10.2","10.3",6e-04
"HHS Region 5","4 wk ahead","Bin","percent","10.3","10.4",5e-04
"HHS Region 5","4 wk ahead","Bin","percent","10.4","10.5",5e-04
"HHS Region 5","4 wk ahead","Bin","percent","10.5","10.6",0.001
"HHS Region 5","4 wk ahead","Bin","percent","10.6","10.7",5e-04
"HHS Region 5","4 wk ahead","Bin","percent","10.7","10.8",3e-04
"HHS Region 5","4 wk ahead","Bin","percent","10.8","10.9",5e-04
"HHS Region 5","4 wk ahead","Bin","percent","10.9","11.0",4e-04
"HHS Region 5","4 wk ahead","Bin","percent","11.0","11.1",7e-04
"HHS Region 5","4 wk ahead","Bin","percent","11.1","11.2",0.0018
"HHS Region 5","4 wk ahead","Bin","percent","11.2","11.3",9e-04
"HHS Region 5","4 wk ahead","Bin","percent","11.3","11.4",8e-04
"HHS Region 5","4 wk ahead","Bin","percent","11.4","11.5",6e-04
"HHS Region 5","4 wk ahead","Bin","percent","11.5","11.6",8e-04
"HHS Region 5","4 wk ahead","Bin","percent","11.6","11.7",8e-04
"HHS Region 5","4 wk ahead","Bin","percent","11.7","11.8",0.0013
"HHS Region 5","4 wk ahead","Bin","percent","11.8","11.9",7e-04
"HHS Region 5","4 wk ahead","Bin","percent","11.9","12.0",4e-04
"HHS Region 5","4 wk ahead","Bin","percent","12.0","12.1",9e-04
"HHS Region 5","4 wk ahead","Bin","percent","12.1","12.2",3e-04
"HHS Region 5","4 wk ahead","Bin","percent","12.2","12.3",7e-04
"HHS Region 5","4 wk ahead","Bin","percent","12.3","12.4",7e-04
"HHS Region 5","4 wk ahead","Bin","percent","12.4","12.5",9e-04
"HHS Region 5","4 wk ahead","Bin","percent","12.5","12.6",0.0011
"HHS Region 5","4 wk ahead","Bin","percent","12.6","12.7",8e-04
"HHS Region 5","4 wk ahead","Bin","percent","12.7","12.8",5e-04
"HHS Region 5","4 wk ahead","Bin","percent","12.8","12.9",4e-04
"HHS Region 5","4 wk ahead","Bin","percent","12.9","13.0",6e-04
"HHS Region 5","4 wk ahead","Bin","percent","13.0","100.0",0.002
"HHS Region 6","1 wk ahead","Point","percent",NA,NA,2.1
"HHS Region 6","1 wk ahead","Bin","percent","0.0","0.1",5e-04
"HHS Region 6","1 wk ahead","Bin","percent","0.1","0.2",0.0012
"HHS Region 6","1 wk ahead","Bin","percent","0.2","0.3",5e-04
"HHS Region 6","1 wk ahead","Bin","percent","0.3","0.4",9e-04
"HHS Region 6","1 wk ahead","Bin","percent","0.4","0.5",9e-04
"HHS Region 6","1 wk ahead","Bin","percent","0.5","0.6",0.001
"HHS Region 6","1 wk ahead","Bin","percent","0.6","0.7",6e-04
"HHS Region 6","1 wk ahead","Bin","percent","0.7","0.8",4e-04
"HHS Region 6","1 wk ahead","Bin","percent","0.8","0.9",0.0018
"HHS Region 6","1 wk ahead","Bin","percent","0.9","1.0",7e-04
"HHS Region 6","1 wk ahead","Bin","percent","1.0","1.1",0.0051
"HHS Region 6","1 wk ahead","Bin","percent","1.1","1.2",0.0026
"HHS Region 6","1 wk ahead","Bin","percent","1.2","1.3",0.0014
"HHS Region 6","1 wk ahead","Bin","percent","1.3","1.4",0.0034
"HHS Region 6","1 wk ahead","Bin","percent","1.4","1.5",0.0073
"HHS Region 6","1 wk ahead","Bin","percent","1.5","1.6",0.0135
"HHS Region 6","1 wk ahead","Bin","percent","1.6","1.7",0.0323
"HHS Region 6","1 wk ahead","Bin","percent","1.7","1.8",0.0442
"HHS Region 6","1 wk ahead","Bin","percent","1.8","1.9",0.066
"HHS Region 6","1 wk ahead","Bin","percent","1.9","2.0",0.0834
"HHS Region 6","1 wk ahead","Bin","percent","2.0","2.1",0.1007
"HHS Region 6","1 wk ahead","Bin","percent","2.1","2.2",0.1713
"HHS Region 6","1 wk ahead","Bin","percent","2.2","2.3",0.1124
"HHS Region 6","1 wk ahead","Bin","percent","2.3","2.4",0.0871
"HHS Region 6","1 wk ahead","Bin","percent","2.4","2.5",0.0737
"HHS Region 6","1 wk ahead","Bin","percent","2.5","2.6",0.0448
"HHS Region 6","1 wk ahead","Bin","percent","2.6","2.7",0.0269
"HHS Region 6","1 wk ahead","Bin","percent","2.7","2.8",0.0214
"HHS Region 6","1 wk ahead","Bin","percent","2.8","2.9",0.0089
"HHS Region 6","1 wk ahead","Bin","percent","2.9","3.0",0.0028
"HHS Region 6","1 wk ahead","Bin","percent","3.0","3.1",0.0025
"HHS Region 6","1 wk ahead","Bin","percent","3.1","3.2",7e-04
"HHS Region 6","1 wk ahead","Bin","percent","3.2","3.3",9e-04
"HHS Region 6","1 wk ahead","Bin","percent","3.3","3.4",8e-04
"HHS Region 6","1 wk ahead","Bin","percent","3.4","3.5",7e-04
"HHS Region 6","1 wk ahead","Bin","percent","3.5","3.6",8e-04
"HHS Region 6","1 wk ahead","Bin","percent","3.6","3.7",7e-04
"HHS Region 6","1 wk ahead","Bin","percent","3.7","3.8",5e-04
"HHS Region 6","1 wk ahead","Bin","percent","3.8","3.9",5e-04
"HHS Region 6","1 wk ahead","Bin","percent","3.9","4.0",9e-04
"HHS Region 6","1 wk ahead","Bin","percent","4.0","4.1",6e-04
"HHS Region 6","1 wk ahead","Bin","percent","4.1","4.2",6e-04
"HHS Region 6","1 wk ahead","Bin","percent","4.2","4.3",7e-04
"HHS Region 6","1 wk ahead","Bin","percent","4.3","4.4",0.0012
"HHS Region 6","1 wk ahead","Bin","percent","4.4","4.5",0.0014
"HHS Region 6","1 wk ahead","Bin","percent","4.5","4.6",6e-04
"HHS Region 6","1 wk ahead","Bin","percent","4.6","4.7",5e-04
"HHS Region 6","1 wk ahead","Bin","percent","4.7","4.8",0.001
"HHS Region 6","1 wk ahead","Bin","percent","4.8","4.9",0.0015
"HHS Region 6","1 wk ahead","Bin","percent","4.9","5.0",0.0011
"HHS Region 6","1 wk ahead","Bin","percent","5.0","5.1",6e-04
"HHS Region 6","1 wk ahead","Bin","percent","5.1","5.2",4e-04
"HHS Region 6","1 wk ahead","Bin","percent","5.2","5.3",9e-04
"HHS Region 6","1 wk ahead","Bin","percent","5.3","5.4",0.0013
"HHS Region 6","1 wk ahead","Bin","percent","5.4","5.5",9e-04
"HHS Region 6","1 wk ahead","Bin","percent","5.5","5.6",6e-04
"HHS Region 6","1 wk ahead","Bin","percent","5.6","5.7",9e-04
"HHS Region 6","1 wk ahead","Bin","percent","5.7","5.8",9e-04
"HHS Region 6","1 wk ahead","Bin","percent","5.8","5.9",8e-04
"HHS Region 6","1 wk ahead","Bin","percent","5.9","6.0",8e-04
"HHS Region 6","1 wk ahead","Bin","percent","6.0","6.1",7e-04
"HHS Region 6","1 wk ahead","Bin","percent","6.1","6.2",0.001
"HHS Region 6","1 wk ahead","Bin","percent","6.2","6.3",8e-04
"HHS Region 6","1 wk ahead","Bin","percent","6.3","6.4",3e-04
"HHS Region 6","1 wk ahead","Bin","percent","6.4","6.5",9e-04
"HHS Region 6","1 wk ahead","Bin","percent","6.5","6.6",0.001
"HHS Region 6","1 wk ahead","Bin","percent","6.6","6.7",0.0012
"HHS Region 6","1 wk ahead","Bin","percent","6.7","6.8",5e-04
"HHS Region 6","1 wk ahead","Bin","percent","6.8","6.9",8e-04
"HHS Region 6","1 wk ahead","Bin","percent","6.9","7.0",9e-04
"HHS Region 6","1 wk ahead","Bin","percent","7.0","7.1",6e-04
"HHS Region 6","1 wk ahead","Bin","percent","7.1","7.2",0.001
"HHS Region 6","1 wk ahead","Bin","percent","7.2","7.3",4e-04
"HHS Region 6","1 wk ahead","Bin","percent","7.3","7.4",6e-04
"HHS Region 6","1 wk ahead","Bin","percent","7.4","7.5",9e-04
"HHS Region 6","1 wk ahead","Bin","percent","7.5","7.6",8e-04
"HHS Region 6","1 wk ahead","Bin","percent","7.6","7.7",8e-04
"HHS Region 6","1 wk ahead","Bin","percent","7.7","7.8",8e-04
"HHS Region 6","1 wk ahead","Bin","percent","7.8","7.9",7e-04
"HHS Region 6","1 wk ahead","Bin","percent","7.9","8.0",9e-04
"HHS Region 6","1 wk ahead","Bin","percent","8.0","8.1",5e-04
"HHS Region 6","1 wk ahead","Bin","percent","8.1","8.2",6e-04
"HHS Region 6","1 wk ahead","Bin","percent","8.2","8.3",5e-04
"HHS Region 6","1 wk ahead","Bin","percent","8.3","8.4",8e-04
"HHS Region 6","1 wk ahead","Bin","percent","8.4","8.5",8e-04
"HHS Region 6","1 wk ahead","Bin","percent","8.5","8.6",7e-04
"HHS Region 6","1 wk ahead","Bin","percent","8.6","8.7",2e-04
"HHS Region 6","1 wk ahead","Bin","percent","8.7","8.8",0.0014
"HHS Region 6","1 wk ahead","Bin","percent","8.8","8.9",0.0011
"HHS Region 6","1 wk ahead","Bin","percent","8.9","9.0",8e-04
"HHS Region 6","1 wk ahead","Bin","percent","9.0","9.1",6e-04
"HHS Region 6","1 wk ahead","Bin","percent","9.1","9.2",0.001
"HHS Region 6","1 wk ahead","Bin","percent","9.2","9.3",5e-04
"HHS Region 6","1 wk ahead","Bin","percent","9.3","9.4",8e-04
"HHS Region 6","1 wk ahead","Bin","percent","9.4","9.5",8e-04
"HHS Region 6","1 wk ahead","Bin","percent","9.5","9.6",0.0012
"HHS Region 6","1 wk ahead","Bin","percent","9.6","9.7",0.0012
"HHS Region 6","1 wk ahead","Bin","percent","9.7","9.8",6e-04
"HHS Region 6","1 wk ahead","Bin","percent","9.8","9.9",0.0011
"HHS Region 6","1 wk ahead","Bin","percent","9.9","10.0",8e-04
"HHS Region 6","1 wk ahead","Bin","percent","10.0","10.1",0.0015
"HHS Region 6","1 wk ahead","Bin","percent","10.1","10.2",9e-04
"HHS Region 6","1 wk ahead","Bin","percent","10.2","10.3",0.0014
"HHS Region 6","1 wk ahead","Bin","percent","10.3","10.4",0.0011
"HHS Region 6","1 wk ahead","Bin","percent","10.4","10.5",0.001
"HHS Region 6","1 wk ahead","Bin","percent","10.5","10.6",6e-04
"HHS Region 6","1 wk ahead","Bin","percent","10.6","10.7",4e-04
"HHS Region 6","1 wk ahead","Bin","percent","10.7","10.8",3e-04
"HHS Region 6","1 wk ahead","Bin","percent","10.8","10.9",5e-04
"HHS Region 6","1 wk ahead","Bin","percent","10.9","11.0",6e-04
"HHS Region 6","1 wk ahead","Bin","percent","11.0","11.1",6e-04
"HHS Region 6","1 wk ahead","Bin","percent","11.1","11.2",6e-04
"HHS Region 6","1 wk ahead","Bin","percent","11.2","11.3",7e-04
"HHS Region 6","1 wk ahead","Bin","percent","11.3","11.4",7e-04
"HHS Region 6","1 wk ahead","Bin","percent","11.4","11.5",0.001
"HHS Region 6","1 wk ahead","Bin","percent","11.5","11.6",6e-04
"HHS Region 6","1 wk ahead","Bin","percent","11.6","11.7",6e-04
"HHS Region 6","1 wk ahead","Bin","percent","11.7","11.8",8e-04
"HHS Region 6","1 wk ahead","Bin","percent","11.8","11.9",6e-04
"HHS Region 6","1 wk ahead","Bin","percent","11.9","12.0",5e-04
"HHS Region 6","1 wk ahead","Bin","percent","12.0","12.1",6e-04
"HHS Region 6","1 wk ahead","Bin","percent","12.1","12.2",5e-04
"HHS Region 6","1 wk ahead","Bin","percent","12.2","12.3",0.0013
"HHS Region 6","1 wk ahead","Bin","percent","12.3","12.4",5e-04
"HHS Region 6","1 wk ahead","Bin","percent","12.4","12.5",9e-04
"HHS Region 6","1 wk ahead","Bin","percent","12.5","12.6",7e-04
"HHS Region 6","1 wk ahead","Bin","percent","12.6","12.7",7e-04
"HHS Region 6","1 wk ahead","Bin","percent","12.7","12.8",9e-04
"HHS Region 6","1 wk ahead","Bin","percent","12.8","12.9",8e-04
"HHS Region 6","1 wk ahead","Bin","percent","12.9","13.0",0.0011
"HHS Region 6","1 wk ahead","Bin","percent","13.0","100.0",0.0014
"HHS Region 6","2 wk ahead","Point","percent",NA,NA,2
"HHS Region 6","2 wk ahead","Bin","percent","0.0","0.1",7e-04
"HHS Region 6","2 wk ahead","Bin","percent","0.1","0.2",0.0011
"HHS Region 6","2 wk ahead","Bin","percent","0.2","0.3",8e-04
"HHS Region 6","2 wk ahead","Bin","percent","0.3","0.4",5e-04
"HHS Region 6","2 wk ahead","Bin","percent","0.4","0.5",4e-04
"HHS Region 6","2 wk ahead","Bin","percent","0.5","0.6",0.001
"HHS Region 6","2 wk ahead","Bin","percent","0.6","0.7",4e-04
"HHS Region 6","2 wk ahead","Bin","percent","0.7","0.8",7e-04
"HHS Region 6","2 wk ahead","Bin","percent","0.8","0.9",7e-04
"HHS Region 6","2 wk ahead","Bin","percent","0.9","1.0",7e-04
"HHS Region 6","2 wk ahead","Bin","percent","1.0","1.1",7e-04
"HHS Region 6","2 wk ahead","Bin","percent","1.1","1.2",7e-04
"HHS Region 6","2 wk ahead","Bin","percent","1.2","1.3",9e-04
"HHS Region 6","2 wk ahead","Bin","percent","1.3","1.4",9e-04
"HHS Region 6","2 wk ahead","Bin","percent","1.4","1.5",0.001
